"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"48178","MI","Detroit","Oakland","South Lyon",2586,2038,0.000490918016691213,-0.0135527589545015,-0.0309082263433191,4140
2017-10-31,"90806","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Long Beach",2587,2231,-0.00178970917225951,-0.0106430155210643,0.0518623290900519,2495
2017-10-31,"31204","GA","Macon","Bibb","Macon",2588,738,0.00271739130434783,0.025,0.0179310344827586,365
2017-10-31,"77079","TX","Houston","Harris","Houston",2589,1422,0.00565770862800566,0.00994318181818182,-0.0131852879944483,1526
2017-10-31,"71901","AR","Hot Springs","Garland","Hot Springs",2590,759,-0.01171875,-0.018111254851229,-0.0618046971569839,430
2017-10-31,"97236","OR","Portland","Multnomah","Portland",2591,1444,-0.00413793103448276,-0.00824175824175824,0.00627177700348432,1020
2017-10-31,"21239","MD","Baltimore","Baltimore City","Baltimore",2592,1335,0.00451467268623025,0.000749625187406297,-0.0312046444121916,123
2017-10-31,"92113","CA","San Diego","San Diego","San Diego",2593,2183,0.00275608635737253,0.00599078341013825,0.0882352941176471,2728
2017-10-31,"87107","NM","Albuquerque","Bernalillo","Albuquerque",2594,1103,0.00272727272727273,0.00181653042688465,-0.0116487455197133,436
2017-10-31,"01020","MA","Springfield","Hampden","Chicopee",2595,1245,0.000803858520900322,-0.0134706814580032,0.0631938514090521,1648
2017-10-31,"33803","FL","Lakeland","Polk","Lakeland",2596,960,0.00418410041841004,0.00734522560335782,0.0355987055016181,1752
2017-10-31,"90001","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Florence-Graham",2597,2196,0,0,0.0952618453865337,3241
2017-10-31,"92571","CA","Riverside","Riverside","Perris",2598,1597,-0.0074580484773151,-0.0141975308641975,0.0660881174899867,188
2017-10-31,"43420","OH","Fremont","Sandusky","Fremont",2599,1070,0,0.00469483568075117,-0.036036036036036,474
2017-10-31,"33351","FL","Miami-Fort Lauderdale","Broward","Sunrise",2600,1295,-0.000771604938271605,-0.000771604938271605,0.0109289617486339,5013
2017-10-31,"60517","IL","Chicago","Du Page","Woodridge",2601,1341,0,-0.00223214285714286,-0.00223214285714286,2027
2017-10-31,"65401","MO","Rolla","Phelps","Rolla",2602,588,0,-0.00169779286926995,-0.0050761421319797,909
2017-10-31,"30060","GA","Atlanta","Cobb","Marietta",2603,1237,0.000809061488673139,0.0065093572009764,0.0394957983193277,1078
2017-10-31,"30315","GA","Atlanta","Fulton","Atlanta",2604,1179,0.0137575236457438,0.0461401952085182,0.0650406504065041,1113
2017-10-31,"84403","UT","Ogden","Weber","Ogden",2605,810,0.0125,0.0305343511450382,0.0424710424710425,1350
2017-10-31,"91104","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Pasadena",2606,2595,0.0027047913446677,0.00115740740740741,0.0438455349959775,1794
2017-10-31,"84062","UT","Provo","Utah","Pleasant Grove",2607,1198,0.00167224080267559,0,0.0152542372881356,2305
2017-10-31,"77056","TX","Houston","Harris","Houston",2608,1736,0.00579374275782155,-0.00172512938470385,-0.0487671232876712,3748
2017-10-31,"49417","MI","Grand Rapids","Ottawa","Grand Haven",2609,1190,0.00337268128161889,0.0188356164383562,0.0606060606060606,1318
2017-10-31,"90033","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",2610,2327,0.00518358531317495,0.00866926744690074,0.0773148148148148,2119
2017-10-31,"55414","MN","Minneapolis-St Paul","Hennepin","Minneapolis",2611,1591,-0.00125549278091651,-0.00933997509339975,-0.0322384428223844,3066
2017-10-31,"32211","FL","Jacksonville","Duval","Jacksonville",2612,839,0.00119331742243437,0.00962695547533093,0.00599520383693046,535
2017-10-31,"79915","TX","El Paso","El Paso","El Paso",2613,867,-0.00230149597238205,-0.0136518771331058,-0.0596529284164859,186
