"RegionName","City","State","Metro","CountyName","SizeRank","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10"
"10466","New York","NY","New York","Bronx",108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1150,1150,1200,1200,1200,1200,1300,1300,1250,1250,1250,1350,1300,1300,1350,1400,1300,1362.5,1350,1350,1350,1400,1395,1395,1397.5,1400,1450,1450,1450,1450,1350,1450,1450,1450,1450,1395,1372.5,1400,1400,1400,1450,1450,1450,1500,1525,1550,1550,1575
"11374","New York","NY","New York","Queens",109,,,,,,,,,,,,,,,,,,,,,1725,1787.5,1724.5,1600,1595,1650,1712.5,1650,1725,1712.5,1700,1750,1744,1750,1800,1800,1800,1800,1800,1775,1800,1775,1800,1925,1825,1897.5,1900,1950,1900,1900,1900,1900,1950,1950,1950,1900,2000,2090,2100,2100,2150,2150,2195,2250,2200,2150,2125,2282.5,2000,2150,2200,2000,2037.5,2000,1850,1950,2025,1925,1875,1950,1912.5,1993,2100,2000,2050
"10472","New York","NY","New York","Bronx",110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1400,1475,1500,1497.5,1495,1550,1600,1625,1500,1650,1575
"10473","New York","NY","New York","Bronx",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603,1600,1650,1650,1625,1795,1825,1900,1900,1700,1825,1700,1686.5,1700,1703
"11210","New York","NY","New York","Kings",112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1500,1549.5,1425,1350,1300,1400,1400,1400,1400,1400,1400,1400,1400,1400,1495,1515,1500,1450,1400,1450,1450,1500,1450,1500,1550,1700,1800,1795,1799.5,1750,1750,1800,1875,1900,1800,1750,1800,1695,1700,1700,1700,1849,1800,1950,1795,1800,1750,1775,1800,1799,1799,1799.5,1750,1800,1800
"10033","New York","NY","New York","New York",113,,,,,,,1525,1495,1495,1485,1550,1525,1475,1550,1550,1525,1550,1550,1550,1550,1725,1700,1800,1800,1767.5,1750,1772.5,1700,1700,1700,1725,1750,1725,1797.5,1800,1800,1795,1750,1750,1800,1775,1795,1800,1825,1862.5,1950,1950,1950,2000,1995,2000,2000,2000,2000,2000,2000,2100,2174.5,2212.5,2100,2100,2097,2012.5,2050,2150,2195,2150,2162.5,2025,2100,2362.5,2237.5,2195,2150,2033.5,2275,2250,2292,2195,2200,2175,2200,2200,2150,2200
"10036","New York","NY","New York","New York",114,,,,,,,,,,,,,,,,,,3200,3270,3200,3190,3200,3199.5,3200,3200,3200,3182.5,3150,3100,3135,3190,3197.5,3200,3200,3200,3200,3235,3200,3200,3195,3200,3200,3200,3250,3400,3300,3287,3295,3390,3327.5,3350,3375,3478.5,3450,3495,3250,3250,3195,3395,3250,3195,3065,3000,3020,3160,3195,3217.5,3250,3195,3200,3152,3250,3088,3426,3030,3125,3225,3127,3080,3231,3250,3250,3250,3277.5,3250
"33065","Coral Springs","FL","Miami-Fort Lauderdale","Broward",115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1322.5,1200,1270,1300,1300,1300,1300,1362.5,1350,1350,1375,1350,1425,1400,1425
"10010","New York","NY","New York","New York",116,,,,,3050,2812.5,2925,2995,3100,3095,3100,3295,3250,3337.5,3250,3200,3250,3149.5,3150,3300,3400,3500,3410,3350,3300,3395,3295,3300,3395,3350,3395,3370,3395,3370,3350,3450,3480,3400,3400,3400,3400,3400,3395,3400,3450,3500,3485.5,3600,3650,3595,3650,3500,3500,3500,3631.5,3495,3500,3582.5,3595,3644,3610,3600,3595,3600,3600,3600,3587.5,3795,3765,3562.5,3600,3500,3595,3650,3610,3587.5,3650,3600,3723,3700,3700,3700,3750,3700,3595
"76549","Killeen","TX","Killeen","Bell",117,,,,,,,,,,,622,595,600,625,639.5,630,649,649.5,685,750,650,649.5,650,650,677.5,660,725,750,625,659.5,660,690,695,695,725,775,750,707.5,707.5,720,750,750,750,750,795,750,795,795,795,800,795,795,792.5,795,795,777.5,775,775,790,800,795,782.5,790,795,795,775,775,775,775,775,735,775,750,725,795,750,750,750,795,795,785,770,745,695,750
"19103","Philadelphia","PA","Philadelphia","Philadelphia",118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1995,1700,1900,1920,1957.5,1850,1775,1850,1765,1797.5,1850,1750,1935
"33178","Doral","FL","Miami-Fort Lauderdale","Miami-Dade",119,,,,,,,,,,2000,2100,2050,2050,2000,2100,2100,2050,2000,2000,2000,2000,2000,2100,2200,2100,2100,2200,2100,2100,2100,2100,1900,1900,1900,2000,2050,1975,1850,1900,2000,2062.5,2050,2050,2100,2100,2100,2200,2150,2062.5,2037.5,2225,2375,2300,2000,1950,2000,1899,1875,1950,1912.5,1962.5,2000,2000,2050,2100,2075,2200,2245,2000,2200,2290,2195,2050,2300,2200,2100,2150,2150,2100,2172.5,2200,2200,2200,2250,2300
"10461","New York","NY","New York","Bronx",120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1400,1400,1450,1490,1500,1525,1500,1300,1400,1350,1350,1300,1325,1300,1300,1300,1300,1300,1300,1400,1491.5,1500,1450,1300,1300,1400,1525,1500,1500,1500,1475,1450,1500,1500,1500,1500,1500,1497.5,1500,1675,1497.5,1500,1700,1812.5,1500,1525,1600,1849.5,1750,1750,1750,1748.5,1750,1750,1750
"90813","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,995,1100,1195,1195,1195,1162.5,1195,1275,1250,1250,1200,1250
"11106","New York","NY","New York","New York",122,,,,,,,,,,,,,,,,,,,,,1825,1750,1750,1800,1950,1850,1800,1862.5,1872.5,1925,1837.5,1900,1862,2000,2090,2100,2100,2000,2000,1950,2000,2050,2087,2100,2100,2100,2091,2100,2150,2150,2197.5,2145,2100,2100,2100,2150,2195,2195,2200,2100,2150,2200,2200,2200,2200,2250,2200,2195,2250,2250,2300,2100,2100,2250,2197.5,2200,2100,2100,2100,2150,2100,2195,2164.5,2200,2095
"33180","Aventura","FL","Miami-Fort Lauderdale","Miami-Dade",123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1950,2050,2250,2000,2200,2350,2485,2275,2200,2400,2450,2485,2500,2500,2500,2500,2650,2650,2600,2662.5,2750,2500,2500,2500,2500,2450,2400,2350,2400,2472.5,2500,2500,2450,2400,2490,2495,2437.5,2500,2400,2437.5,2350,2300,2250,2300,2300,2275,2250,2275,2400,2425,2450,2500,2500,2500,2500,2400
"10022","New York","NY","New York","New York",124,,,,,2900,2950,2800,3000,3150,3250,3100,3025,3050,3250,3200,3100,3100,3100,2825,3025,2900,2900,2900,3000,3200,3200,3200,3150,3199.5,3150,3195,3192.5,3100,3195,3150,3150,3200,3150,3200,3200,3250,3275,3250,3300,3350,3250,3375,3300,3300,3200,3095,3200,3399.5,3500,3595,3300,3450,3450,3500,3395,3275,3200,3295,3272,3200,3400,3400,3400,3185,3175,3295,3400,3325,3500,3425,3350,3310.5,3300,3300,3400,3500,3397.5,3250,3300,3350
"11432","New York","NY","New York","Queens",125,,,,,,,,,,,,,,,,,,,,,,,,,,,1575,1500,1650,1575,1475,1512.5,1587.5,1625,1587.5,1500,1550,1500,1500,1450,1475,1500,1525,1575,1650,1568,1602,1550,1600,1600,1575,1550,1600,1650,1697.5,1650,1697,1600,1650,1725,1795,1650,1700,1650,1650,1750,1795,1650,1795,2000,1872.5,1650,1750,1833,1795,1850,1825,1862.5,2010,2047,2168,2341.5,2200,1985,1895
"02124","Boston","MA","Boston","Suffolk",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2000,2020,2200,1850,1800,1800,1850,1850,1830,1807.5,1900,2000,1950,2025,2000,1850,1800,1850,1850,1850,1900,1900,1850,2050,2055,2000,1950,1975,1975,1995,2100,1850,1900,2000,2025,2150,2115,2140,2100,2100
"11222","New York","NY","New York","Kings",127,,,,,,,,,,,,,,,,,,,,,,2600,2725,2450,2400,2000,2250,2400,2400,2400,2700,2675,2700,2800,2850,2800,2800,2800,2700,2600,2600,2600,2700,2950,2950,2800,2850,2815,2900,2849,2800,2798,2795,2700,2849,2995,2915,2861,2900,2915,2940.5,2800,2800,2700,2750,2750,2897.5,2800,2900,2950,2850,2895,2895,2850,2697.5,2790,2759.5,2750,2777.5,2799,2899,2899,2800,2849,2750
"59101","Billings","MT","Billings","Yellowstone",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550,585,575,575,575,525,550,575,595,595,595,590,595,612.5,625,600,595,607.5,595,625,625,650,595,595,595,595,592.5,595,550,575,595,640,585,550,550,575,595,590,580,590,620,595,595,595,595
"10065","New York","NY","New York","New York",129,,,,,,,3300,3195,3225,3195,3200,3300,3600,3195,3000,3000,3050,3172.5,3000,3295,3300,3425,3495,3400,3500,3425,3500,3450,3425,3500,3600,3500,3500,3450,3500,3495,3500,3495,3450,3400,3495,3500,3500,3412.5,3600,3500,3450,3200,3295,3495,3450,3400,3595,3500,3500,3450,3495,3500,3495,3495,3495,3500,3450,3495,3450,3490,3695,3295,3200,3272.5,3200,3200,3395,3284,3297.5,3350,3450,3295,3299,3249.5,3295,3498,3000,3225,3200
"10040","New York","NY","New York","New York",130,,,,,,1385,1415,1350,1300,1300,1400,1450,1350,1350,1296,1250,1325,1325,1375,1300,1325,1350,1462.5,1400,1450,1400,1413.5,1395,1375,1400,1450,1450,1475,1487.5,1458,1500,1500,1500,1495,1500,1500,1500,1500,1500,1549.5,1600,1700,1675,1700,1650,1650,1650,1700,1695,1675,1700,1700,1685,1675,1750,1700,1685,1650,1650,1625,1625,1625,1650,1650,1700,1850,1625,1612.5,1650,1625,1773,1750,1700,1725,1850,1850,1887.5,1800,1800,1800
