"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-10-31,59099,"03280","NH","Claremont","Sullivan","Washington",14889,208600,-0.00808368996671422,0.0477147162230035,0.0403990024937656,,,"2017-09","2017-Q3",210300,-0.00808368996671422,"2017-09"
2017-10-31,62765,"12815","NY","Glens Falls","Warren","Horicon",14890,264900,0.0018910741301059,0.00302915562287012,0.0799021606196494,0.00113636656953431,0.00568532022176993,"2010-06","2010-Q2",281200,-0.0579658605974395,"2009-12"
2017-10-31,62845,"12932","NY",,"Essex","Elizabethtown",14891,120100,0.00502092050209205,-0.00743801652892562,0.0443478260869565,0.0417225446128797,-0.00509962778382245,"2007-12","2007-Q4",128500,-0.0653696498054475,"2007-06"
2017-10-31,67567,"23153","VA","Richmond","Goochland","Sandy Hook",14892,310000,0,0.0127409343351846,0.0873377762188706,0.03877769929695,-0.00115393280662401,"2006-09","2006-Q3",322900,-0.0399504490554351,"2006-01"
2017-10-31,70180,"28736","NC","Cullowhee","Jackson","Glenville",14893,329300,-0.0018187329493786,-0.00453446191051995,0.08500823723229,0.0301865320587766,-0.0317731376666505,"2007-10","2007-Q4",454800,-0.2759454705365,"2004-03"
2017-10-31,76694,"43457","OH","Toledo","Wood","Risingsun",14894,90600,-0.0152173913043478,-0.0412698412698413,-0.0783316378433367,0.0095385118240443,0.00452564970781522,"2016-12","2016-Q4",100600,-0.099403578528827,"2016-07"
2017-10-31,86577,"64746","MO","Kansas City","Cass","Freeman",14895,158000,0.0141206675224647,0.0401579986833443,0.0979847116052815,0.0224487198210246,,"2017-10","2017-Q4",158000,0,"2017-10"
2017-10-31,58242,"01071","MA","Springfield","Hampden","Russell",14896,226300,0.00667259786476868,0.0202885482416592,0.066949552098067,0.0324534153659586,0.00532268768047661,"2017-10","2017-Q4",226300,0,"2017-10"
2017-10-31,59927,"05487","VT",,"Addison","Starksboro",14897,222000,0.00225733634311512,-0.0297202797202797,0.0150891632373114,0.0204797922602269,0.0177411387966662,"2006-04","2006-Q2",261000,-0.149425287356322,"2004-11"
2017-10-31,67706,"23432","VA","Virginia Beach","Suffolk City","Suffolk",14898,320400,0.00723043068217542,0.00691389063482087,0.071571906354515,0.0106969324371975,-0.00814364179853466,"2006-06","2006-Q2",367900,-0.129111171513998,"2005-08"
2017-10-31,73681,"36006","AL","Montgomery","Autauga","Billingsley",14899,112800,0.0053475935828877,0.00266666666666667,0.0919651500484027,0.0163777568585743,,"2010-08","2010-Q3",126900,-0.111111111111111,
2017-10-31,76699,"43464","OH","Fremont","Sandusky","Vickery",14900,108400,-0.00641613198900092,-0.00823421774931381,0.0503875968992248,0.0505801101574102,0.0137101957329013,"2017-08","2017-Q3",109500,-0.0100456621004566,"2017-04"
2017-10-31,76731,"43533","OH","Toledo","Fulton","Lyons",14901,136600,-0.000731528895391368,-0.00726744186046512,0.0901835594573025,0.0643639090519861,0.012535687493298,"2017-06","2017-Q2",138300,-0.012292118582791,"2017-04"
2017-10-31,81817,"54644","WI","La Crosse","La Crosse","Mindoro",14902,196300,0.035337552742616,0.096035734226689,0.234591194968553,0.0636310521484793,,"2017-10","2017-Q4",196300,0,"2017-10"
2017-10-31,87657,"67561","KS","Hutchinson","Reno","Nickerson",14903,65800,0.00458015267175573,0.00611620795107034,-0.0693069306930693,0.0132789864898604,,"2008-08","2008-Q3",75100,-0.123834886817577,
2017-10-31,59066,"03240","NH","Claremont","Grafton","Grafton",14904,145500,0.00901525658807212,0.0363247863247863,0.130536130536131,0.0185876684816606,-0.0160765792787705,"2008-01","2008-Q1",172200,-0.155052264808362,"2004-04"
2017-10-31,59103,"03287","NH","Concord","Merrimack","Wilmot",14905,249500,0.00767366720516963,0.0212853049529267,0.0607993197278912,0.0339902969701107,-0.00315110530459428,"2005-11","2005-Q4",262300,-0.0487990850171559,"2005-06"
2017-10-31,74828,"38460","TN",,"Giles","Goodspring",14906,84400,-0.0208816705336427,-0.0559284116331096,0.0305250305250305,0.0572271749306554,0.00449294578263726,"2017-07","2017-Q3",89400,-0.0559284116331096,"2016-12"
