"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-10-31,"32561","FL","Pensacola","Santa Rosa","Gulf Breeze",8453,2203,0.0170821791320406,0.0381715362865222,0.0699368625546382,5932
2017-10-31,"16412","PA","Erie","Erie","Washington Township",8454,1165,0.0121633362293658,0.0590909090909091,0.0581289736603088,2331
2017-10-31,"92067","CA","San Diego","San Diego","Rancho Santa Fe",8455,11519,0.000694987403353314,-0.00817978302049251,-0.0122620476762133,1773
2017-10-31,"85344","AZ",,"La Paz","Parker",8456,1187,0,-0.00168208578637511,0,2425
2017-10-31,"36604","AL","Mobile","Mobile","Mobile",8457,951,0.00105263157894737,0.0106269925611052,0.0602006688963211,3590
2017-10-31,"36105","AL","Montgomery","Montgomery","Montgomery",8458,713,0.00564174894217207,0.00848656294200849,-0.0110957004160888,4587
2017-10-31,"55806","MN","Duluth","Saint Louis","Duluth",8459,987,-0.0110220440881764,-0.0361328125,-0.00704225352112676,2716
2017-10-31,"68112","NE","Omaha","Douglas","Omaha",8460,964,0.00103842159916926,0.0136698212407992,0.0489662676822633,8119
2017-10-31,"33972","FL","Fort Myers","Lee","Lehigh Acres",8461,1280,0.00234925606891151,0.0126582278481013,0.0126582278481013,4596
2017-10-31,"19444","PA","Philadelphia","Montgomery","Whitemarsh Township",8462,2369,0.0102345415778252,0.0215610176800345,0.0215610176800345,3304
2017-10-31,"72719","AR","Fayetteville","Benton","Centerton",8463,1123,0.00178412132024978,0.00627240143369176,0.0340699815837937,3178
2017-10-31,"76905","TX","San Angelo","Tom Green","San Angelo",8464,1192,0.0101694915254237,-0.00334448160535117,0.0127442650807137,2999
2017-10-31,"84066","UT",,"Duchesne","Roosevelt",8465,1027,0.00983284169124877,0.0675675675675676,0.151345291479821,2076
2017-10-31,"38068","TN","Memphis","Fayette","Somerville",8466,1129,-0.000884955752212389,0.00177462289263532,0.0521901211556384,5299
2017-10-31,"77562","TX","Houston","Harris","Highlands",8467,1340,0.00374531835205993,0.00903614457831325,-0.00223380491437081,3012
2017-10-31,"19962","DE","Dover","Kent","Magnolia",8468,1241,0,-0.00241157556270096,0.0040453074433657,1469
2017-10-31,"97479","OR","Roseburg","Douglas","Sutherlin",8469,1053,0.00190294957183635,-0.00754005655042413,0.0477611940298508,2758
2017-10-31,"34947","FL","Port St. Lucie","Saint Lucie","Fort Pierce",8470,1125,0.0107816711590297,0.0455390334572491,0.0943579766536965,2686
2017-10-31,"48040","MI","Detroit","Saint Clair","Marysville",8471,1042,0.00482160077145612,-0.0206766917293233,-0.0457875457875458,3942
2017-10-31,"71852","AR",,"Howard","Nashville",8472,808,0.0062266500622665,0.0214917825537295,-0.0403800475059382,2876
2017-10-31,"45152","OH","Cincinnati","Warren","Morrow",8473,1603,-0.00248911014312383,-0.000623441396508728,0.0113564668769716,3842
2017-10-31,"46184","IN","Indianapolis","Johnson","New Whiteland",8474,1141,0.00351802990325418,0.0115248226950355,0.01875,4261
2017-10-31,"03570","NH","Berlin","Coos","Berlin",8475,1108,0.0193192272309108,0.0726040658276863,0.0374531835205993,2479
2017-10-31,"46173","IN",,"Rush","Rushville",8476,915,0.00328947368421053,0.0292463442069741,0.0327313769751693,3554
2017-10-31,"60410","IL","Chicago","Will","Channahon",8477,1716,0.00409596255119953,0.00233644859813084,0.0165876777251185,4435
2017-10-31,"14103","NY","Rochester","Orleans","Medina",8478,1172,0.00947459086993971,0.0147186147186147,-0.031404958677686,2676
2017-10-31,"28138","NC","Charlotte","Rowan","Rockwell",8479,1114,0.0192131747483989,0.0650095602294455,0.0900195694716243,2418
2017-10-31,"03077","NH","Boston","Rockingham","Town of Raymond",8480,1840,-0.00216919739696312,0.0273590173087661,0.0484330484330484,3255
2017-10-31,"08103","NJ","Philadelphia","Camden","Camden",8481,1247,-0.00160128102481986,-0.0348297213622291,-0.0844346549192364,5096
2017-10-31,"17340","PA","Gettysburg","Adams","Littlestown",8482,1296,0,0.00232018561484919,-0.00765696784073507,6536
2017-10-31,"06120","CT","Hartford","Hartford","Hartford",8483,1359,0.00592153960029608,-0.00293470286133529,-0.00947521865889213,713
2017-10-31,"56721","MN","Grand Forks","Polk","East Grand Forks",8484,1229,0.000814332247557003,-0.0016246953696182,-0.0675265553869499,2882
2017-10-31,"44026","OH","Cleveland","Geauga","Chesterland",8485,1810,-0.00767543859649123,0.0378440366972477,-0.00821917808219178,4063
2017-10-31,"28621","NC","Mount Airy","Surry","Elkin",8486,974,0.0114226375908619,0.0263435194942044,0.00205761316872428,2144
2017-10-31,"07078","NJ","New York","Essex","Short Hills",8487,6940,0.00376048597049465,0.0106305519149556,-0.025691422153587,4166
2017-10-31,"64137","MO","Kansas City","Jackson","Kansas City",8488,1034,0.0117416829745597,0.037111334002006,0.0508130081300813,2818
2017-10-31,"99623","AK","Anchorage","Matanuska Susitna","Knik-Fairview",8489,1554,-0.0032071840923669,0.00128865979381443,-0.0419235511713933,2688
2017-10-31,"78362","TX","Corpus Christi","San Patricio","Ingleside",8490,1214,-0.0138099106417547,-0.017004048582996,-0.053780202650039,3146
2017-10-31,"02568","MA","Vineyard Haven","Dukes","Vineyard Haven",8491,2648,0.00684410646387833,0.0421094057457694,0.0412898151789225,2769
2017-10-31,"81403","CO","Montrose","Montrose","Montrose",8492,1323,0.00608365019011407,0.0091533180778032,0.0567092651757189,3495
2017-10-31,"02813","RI","Providence","Washington","Charlestown",8493,1652,-0.0184194890077243,-0.0125523012552301,0.0502225047679593,4682
2017-10-31,"47119","IN","Louisville/Jefferson County","Floyd","Floyds Knobs",8494,1387,0.00434467776973208,-0.00143988480921526,-0.00786838340486409,3828
2017-10-31,"27298","NC","Greensboro","Randolph","Liberty",8495,955,0,0.00315126050420168,0.0448577680525164,3557
2017-10-31,"89508","NV","Reno","Washoe","Cold Springs",8496,1553,0.00844155844155844,0.0291583830351226,0.0629705681040383,3718
2017-10-31,"01462","MA","Worcester","Worcester","Town of Lunenburg",8497,1766,-0.000565930956423316,-0.0264608599779493,-0.00897867564534231,3845
2017-10-31,"37397","TN","Chattanooga","Marion","Whitwell",8498,1008,0,0.008,0.0577124868835257,3451
2017-10-31,"44062","OH","Cleveland","Geauga","Middlefield",8499,1260,0,0.0535117056856187,0.0732538330494037,2682
2017-10-31,"46055","IN","Indianapolis","Hancock","McCordsville",8500,1606,-0.00680272108843537,0,-0.00372208436724566,3869
2017-10-31,"06608","CT","Stamford","Fairfield","Bridgeport",8501,1597,0.0006265664160401,0.00757097791798107,-0.0068407960199005,696
2017-10-31,"28445","NC","Wilmington","Pender","Surf City",8502,1473,-0.0120724346076459,-0.018,0.0878877400295421,5699
2017-10-31,"81505","CO","Grand Junction","Mesa","Grand Junction",8503,1324,0.00303030303030303,0.0130068859984698,0.0458135860979463,3330
2017-10-31,"35634","AL","Florence","Lauderdale","Florence",8504,939,-0.00949367088607595,-0.0467005076142132,0.033003300330033,3908
2017-10-31,"48809","MI","Ionia","Ionia","Belding",8505,1010,0.00798403193612774,0.00397614314115308,0.0444674250258532,3421
2017-10-31,"02769","MA","Providence","Bristol","Rehoboth",8506,2254,0.032051282051282,0.0909970958373669,0.0728224654926226,3885
2017-10-31,"61072","IL","Rockford","Winnebago","Rockton",8507,1288,0.00389711613406079,0.0271132376395534,0.0437601296596434,3280
2017-10-31,"43351","OH",,"Wyandot","Upper Sandusky",8508,959,-0.00208116545265349,0.0116033755274262,-0.00621761658031088,1593
2017-10-31,"98951","WA","Yakima","Yakima","Wapato",8509,935,-0.0147523709167545,-0.0219665271966527,0,2239
2017-10-31,"80603","CO","Greeley","Weld","Lochbuie",8510,1817,0.00720620842572062,0.0156512017887088,0.0436530729465824,4186
2017-10-31,"60915","IL","Kankakee","Kankakee","Bradley",8511,1121,0,0.00628366247755835,0.0389249304911956,3774
2017-10-31,"30546","GA",,"Towns","Hiawassee",8512,1292,0.00623052959501558,0.0197316495659037,0.0394207562349155,2595
2017-10-31,"11755","NY","New York","Suffolk","Lake Grove",8513,2610,0,-0.0344062153163152,-0.125335120643432,3613
2017-10-31,"68522","NE","Lincoln","Lancaster","Lincoln",8514,1279,0.00392464678178964,0.0306204673650282,0.00947119179163378,3289
2017-10-31,"13350","NY","Utica","Herkimer","Town of Herkimer",8515,1176,0.00598802395209581,0.00512820512820513,-0.0523771152296535,2429
2017-10-31,"67410","KS",,"Dickinson","Abilene",8516,922,-0.00324324324324324,-0.00646551724137931,-0.0325288562434418,3147
2017-10-31,"90755","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Signal Hill",8517,2420,-0.000413052457662123,0.00498338870431894,0.0449050086355786,2539
2017-10-31,"70443","LA","Hammond","Tangipahoa","Independence",8518,1209,-0.0106382978723404,-0.0320256204963971,0.014261744966443,1838
2017-10-31,"48138","MI","Detroit","Wayne","Grosse Ile",8519,1749,-0.0140924464487035,-0.0256267409470752,-0.0421686746987952,4740
2017-10-31,"36544","AL","Mobile","Mobile","Irvington",8520,944,-0.00105820105820106,-0.00526870389884088,0.0183387270765912,2747
2017-10-31,"30427","GA",,"Tattnall","Glennville",8521,1036,0.00387596899224806,0.00387596899224806,0.0517766497461929,1691
2017-10-31,"08629","NJ","Trenton","Mercer","Trenton",8522,1403,0.00429491768074445,0.010806916426513,0.0115356885364095,3421
2017-10-31,"77418","TX","Houston","Austin","Bellville",8523,1452,-0.00137551581843191,-0.00547945205479452,-0.062015503875969,2265
2017-10-31,"40513","KY","Lexington","Fayette","Lexington",8524,2159,-0.00689972401103956,-0.0150547445255474,-0.0296629213483146,3752
2017-10-31,"02052","MA","Boston","Norfolk","Town of Medfield",8525,2986,-0.00830288940551312,-0.0276782806903289,-0.00400266844563042,3813
2017-10-31,"78225","TX","San Antonio","Bexar","San Antonio",8526,993,-0.00501002004008016,0.00303030303030303,0.0643086816720257,4069
2017-10-31,"19312","PA","Philadelphia","Chester","Easttown Township",8527,3383,0.00296471983397569,0.0153061224489796,0.0438136377661216,3948
2017-10-31,"97089","OR","Portland","Clackamas","Damascus",8528,2273,0.00530738611233967,-0.00525164113785558,0.0120213713268032,4348
2017-10-31,"07853","NJ","New York","Morris","Long Valley",8529,2649,0.0157208588957055,0.0528616852146264,-0.0349726775956284,4124
2017-10-31,"12572","NY","New York","Dutchess","Town of Rhinebeck",8530,2115,-0.00564174894217207,-0.0126050420168067,0.0301997077447638,2972
2017-10-31,"94158","CA","San Francisco","San Francisco","San Francisco",8531,4494,-0.00111135807957324,0.00223015165031222,-0.0362427621702766,1109
2017-10-31,"30525","GA",,"Rabun","Clayton",8532,1195,0.00420168067226891,0.0152931180968564,0.0537918871252205,2312
2017-10-31,"46001","IN","Indianapolis","Madison","Alexandria",8533,748,-0.0157894736842105,-0.0422535211267606,0.00537634408602151,4483
2017-10-31,"49112","MI","South Bend","Cass","Edwardsburg",8534,1095,0.000914076782449726,0.00828729281767956,0.0620756547041707,3246
2017-10-31,"21102","MD","Baltimore","Carroll","Manchester",8535,1706,-0.00813953488372093,-0.0229095074455899,-0.0453273642977057,4199
2017-10-31,"32908","FL","Melbourne","Brevard","Palm Bay",8536,1255,0.00159616919393456,0.00884244372990354,0.0389072847682119,4319
