"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","99654","AK","""Anchorage, AK""",6291,132,22.6190476190476,82,6.15384615384615,8.31710709318498
"Zip","99577","AK","""Anchorage, AK""",6541,132,19.4029850746269,77,4.61538461538461,8.31710709318498
"Zip","99645","AK","""Anchorage, AK""",6554,132,16.4502164502165,71,0.769230769230769,8.31710709318498
"Zip","99502","AK","""Anchorage, AK""",7210,132,22.1238938053097,73,2.30769230769231,8.31710709318498
"Zip","99501","AK","""Anchorage, AK""",7734,132,24.6753246753247,110.5,9.23076923076923,8.31710709318498
"Zip","99515","AK","""Anchorage, AK""",7833,132,21.6931216931217,75,3.84615384615385,8.31710709318498
"Zip","99517","AK","""Anchorage, AK""",8478,132,24.7787610619469,76,6.92307692307692,8.31710709318498
"Zip","99516","AK","""Anchorage, AK""",8480,132,16.5829145728643,76,3.07692307692308,8.31710709318498
"Zip","99518","AK","""Anchorage, AK""",10055,132,28.9473684210526,77,8.46153846153846,8.31710709318498
"Zip","99567","AK","""Anchorage, AK""",10467,132,14.6666666666667,73,1.53846153846154,8.31710709318498
"Zip","48197","MI","""Ann Arbor, MI""",1539,147,15.1408450704225,63.5,6.66666666666667,0.987482614742698
"Zip","48103","MI","""Ann Arbor, MI""",1824,147,13.6507936507937,57,2.5,0.987482614742698
"Zip","48104","MI","""Ann Arbor, MI""",3276,147,14.0845070422535,58.5,4.16666666666667,0.987482614742698
"Zip","48198","MI","""Ann Arbor, MI""",3286,147,12.9807692307692,62,3.33333333333333,0.987482614742698
"Zip","48105","MI","""Ann Arbor, MI""",3833,147,11.1111111111111,59,0.833333333333333,0.987482614742698
"Zip","48108","MI","""Ann Arbor, MI""",5800,147,13.5593220338983,56,1.66666666666667,0.987482614742698
"Zip","48176","MI","""Ann Arbor, MI""",7551,147,18.4931506849315,67,8.33333333333333,0.987482614742698
"Zip","48130","MI","""Ann Arbor, MI""",9117,147,12.0567375886525,72,5.83333333333333,0.987482614742698
"Zip","48189","MI","""Ann Arbor, MI""",9204,147,15.4639175257732,64,7.5,0.987482614742698
"Zip","48118","MI","""Ann Arbor, MI""",9342,147,11.8811881188119,78.5,5,0.987482614742698
"Zip","48160","MI","""Ann Arbor, MI""",9669,147,15.625,68.5,9.16666666666667,0.987482614742698
"Zip","48158","MI","""Ann Arbor, MI""",10701,147,24.5614035087719,90.5,10,0.987482614742698
"Zip","28806","NC","""Asheville, NC""",2968,117,18.9873417721519,75,3.2,7.52433936022253
"Zip","28803","NC","""Asheville, NC""",4075,117,20.2205882352941,76,4.2,7.52433936022253
"Zip","28792","NC","""Asheville, NC""",4436,117,11.7073170731707,87,0.8,7.52433936022253
"Zip","28715","NC","""Asheville, NC""",5733,117,18.1208053691275,86.5,5.8,7.52433936022253
"Zip","28786","NC","""Asheville, NC""",6360,117,14.1176470588235,91,2.2,7.52433936022253
"Zip","28804","NC","""Asheville, NC""",6675,117,20.952380952381,90,7.6,7.52433936022253
"Zip","28787","NC","""Asheville, NC""",6687,117,22.0779220779221,83,7.2,7.52433936022253
"Zip","28704","NC","""Asheville, NC""",6856,117,11.9318181818182,76.5,0.4,7.52433936022253
"Zip","28739","NC","""Asheville, NC""",6988,117,16.3346613545817,85,2.2,7.52433936022253
"Zip","28805","NC","""Asheville, NC""",7356,117,22.3021582733813,65,4.8,7.52433936022253
"Zip","28716","NC","""Asheville, NC""",7810,117,18.0451127819549,115,8.6,7.52433936022253
"Zip","28732","NC","""Asheville, NC""",8178,117,16.8,69,1.2,7.52433936022253
"Zip","28801","NC","""Asheville, NC""",8401,117,21.8181818181818,93,9.2,7.52433936022253
"Zip","28711","NC","""Asheville, NC""",8829,117,21.3675213675214,106,10,7.52433936022253
"Zip","28791","NC","""Asheville, NC""",8900,117,18.0555555555556,71.5,2.2,7.52433936022253
"Zip","28748","NC","""Asheville, NC""",9287,117,17.5675675675676,118,8,7.52433936022253
"Zip","28753","NC","""Asheville, NC""",9470,117,9.33333333333333,192,5.8,7.52433936022253
