"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","10595","Valhalla","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,8.87187123307098,100,,,581300,0.449282875410403,9.94893134102516,0.0229864097712025,,0.0278113663845224,0,123
"Zip","10598","Yorktown","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.10948025242856,84.62,,,421800,0.50035739814153,7.43759551706572,0.0183285917496443,,0.0622844390342869,0.123778501628664,104
"Zip","10603","Greenburgh","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,1.75210948025243,100,,,432500,-0.115473441108545,6.05689063266307,0.0174080924855491,,0.135639758374519,0.101214574898785,127
"Zip","10604","White Plains","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,4.70183648869035,,,,627100,0.143724049824337,5.69694926681274,0.019607718067294,,0.0504103165298945,0.116279069767442,124
"Zip","10605","White Plains","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,4.49620648089059,100,,,684300,0.322533352880809,2.97968397291196,0.00635686102586575,,0.0411334552102377,0.0777777777777778,122.5
"Zip","10606","White Plains","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,3.42834857831667,100,,,520000,0.173376998651512,4.90215856364737,0.0238211538461539,,0.127659574468085,0.0681818181818182,124
"Zip","10607","Greenburgh","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.82351272778841,100,,,489000,0.720906282183316,1.45228215767635,0.0183108384458077,,0.0863757791629564,0.175257731958763,127
"Zip","10701","Yonkers","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,1.07494859249805,50,,,440900,0.181776868893433,8.56931790199458,0.021356316625085,,0.12290008841733,0.079136690647482,130
"Zip","10703","Yonkers","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,5.61866269588031,,,,401200,1.08339632149156,9.37840785169029,0.0205732801595215,,0.0897435897435898,0.1,134
"Zip","10704","Yonkers","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,5.19534850740977,100,,,439200,0.205338809034908,8.25733300468326,0.0233492714025501,,0.0954032957502168,0.118181818181818,143
"Zip","10705","Yonkers","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,1.92866765936326,0,,,461800,0.151810887009326,8.96649362907032,0.0246643568644436,,0.100354191263282,0.164705882352941,134
"Zip","10706","Hastings on Hudson","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,4.81883287243849,100,,,735100,0.975274725274725,0.492139439507861,0.0201088287307849,,0.0298372513562387,0.0606060606060606,123
"Zip","10707","Yonkers","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,6.0341771254343,100,,,591500,0.69799114742935,4.22907488986784,0.0245663567202028,,0.0949519230769231,0.0253164556962025,134
"Zip","10708","Eastchester","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,7.39771679784443,100,,,767900,0.234956272027151,8.92198581560284,0.0199921864826149,,0.0744115413819286,0.0408163265306122,147
"Zip","10709","Eastchester","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,6.67588456356803,100,,,657800,0.951503990178023,7.5012256904723,0.0202858011553664,,0.0624349635796046,0.05,119
"Zip","10710","Yonkers","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.82776714174289,100,,,475700,0.61336717428088,2.45530906741331,0.0244965314273702,,0.0600279199627734,0.10077519379845,116
"Zip","10801","New Rochelle","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.11302559739063,100,,,502400,0.843034925732638,4.42735398046144,0.0218829617834395,,0.0961111111111111,0.167630057803468,121
"Zip","10803","Pelham","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,4.07076508544281,85.71,,,847000,1.17056856187291,2.56720755630903,0.0196044864226683,,0.0365551425030979,0.0847457627118644,119
"Zip","10804","New Rochelle","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,4.02254839395873,57.14,,,753100,0.23958471981898,6.17510221344988,0.0252888062674279,,0.0483592400690846,0.0892857142857143,132.5
"Zip","10805","New Rochelle","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",,2.1498971849961,,,,463100,1.2904636920385,6.11824014665445,0.0186093716259987,,0.136801541425819,0.0985915492957747,126
